n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
8,3,fidelity_test,combined_fidelity_test,standard_fidelity_test,20,0.8081494176385385,0.7879412064592405,0.826374182525575,0.799894134655142,0.7799822407233733,0.8176084862557519,0.008255282983396589,1.9073486328125e-06,1.0,True
8,4,fidelity_test,combined_fidelity_test,standard_fidelity_test,20,0.8191445911755795,0.8099490282244222,0.8281188059128073,0.8107059596896777,0.8018301501264558,0.8194031708045766,0.008438631485901422,0.000209808349609375,0.8666666666666667,True
8,5,fidelity_test,combined_fidelity_test,standard_fidelity_test,20,0.8087241523702191,0.8008459663869196,0.8155485074193367,0.8007543702963871,0.793216942791302,0.8076422207642843,0.00796978207383201,3.814697265625e-06,0.9904761904761905,True
14,3,fidelity_test,combined_fidelity_test,standard_fidelity_test,20,0.807746620744217,0.7842185784533138,0.8296599318183456,0.8068826492241964,0.7843455946279245,0.827591230816024,0.0008639715200203735,0.24548721313476562,0.3047619047619048,False
14,4,fidelity_test,combined_fidelity_test,standard_fidelity_test,20,0.8054254187941254,0.7933148506895464,0.8179590660103573,0.8004938021656332,0.7888733183512339,0.8127637913794715,0.0049316166284923465,1.9073486328125e-05,0.9523809523809523,True
14,5,fidelity_test,combined_fidelity_test,standard_fidelity_test,20,0.8018745823951952,0.7920088363584605,0.8118586037435452,0.7991303484710526,0.7887414347408696,0.8096739136219644,0.0027442339241424917,0.013616561889648438,0.6190476190476191,False
20,3,fidelity_test,combined_fidelity_test,standard_fidelity_test,20,0.7974154451066029,0.767124295215608,0.8287057551671793,0.7949270516282032,0.7646710817419243,0.8261673085789211,0.0024883934783999084,0.0042209625244140625,0.7047619047619048,False
20,4,fidelity_test,combined_fidelity_test,standard_fidelity_test,20,0.8027942836949953,0.785049424847486,0.8207538592986282,0.8008100568582558,0.783085905249822,0.8187988909485326,0.0019842268367394555,0.0007076263427734375,0.8095238095238095,True
20,5,fidelity_test,combined_fidelity_test,standard_fidelity_test,20,0.7868565120955681,0.7751446432402335,0.7989060725370887,0.7839826378092212,0.7731055659267537,0.7952905036648986,0.0028738742863467837,0.00485992431640625,0.6952380952380952,False
8,3,fidelity_test,combined_fidelity_test,kernel_fidelity_test,20,0.8081494176385385,0.7879412064592405,0.826374182525575,0.8069174985773495,0.7866155261130767,0.8251526148038604,0.0012319190611890297,0.039989471435546875,0.5238095238095238,False
