n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject,K
8,3,fidelity,ovr_fidelity,fisher_fidelity,20,0.8294431460192151,0.813103358450803,0.8451582706215144,0.8078695526098333,0.7893892896479404,0.8258485790048193,0.021573593409381885,0.00485992431640625,0.6952380952380952,False,
8,4,fidelity,ovr_fidelity,fisher_fidelity,20,0.8192862076668378,0.8080308099787028,0.8305316015313388,0.8025398324590913,0.7847621014701354,0.821119708642236,0.01674637520774644,0.021484375,0.580952380952381,False,
8,5,fidelity,ovr_fidelity,fisher_fidelity,20,0.8141080492034867,0.8012655521939809,0.825891323167892,0.8092878510656775,0.7949658554790316,0.822128798063609,0.0048201981378093225,0.03276824951171875,0.5428571428571428,False,
14,3,fidelity,ovr_fidelity,fisher_fidelity,20,0.8329850869173185,0.8144683251091643,0.8509056142959778,0.8062090458212877,0.7867506670579169,0.8254744475873276,0.026776041096030732,0.012079238891601562,0.6285714285714286,False,
14,4,fidelity,ovr_fidelity,fisher_fidelity,20,0.8166458988071128,0.8083470197964103,0.8252535954057054,0.7940343241366173,0.7826317391057155,0.8058632925827287,0.022611574670495467,6.29425048828125e-05,0.9142857142857143,True,
14,5,fidelity,ovr_fidelity,fisher_fidelity,20,0.8034307667664287,0.7943130085137265,0.8126140594174349,0.7852542982414826,0.7741528664648694,0.7962546422951943,0.018176468524946043,0.0005855560302734375,0.819047619047619,True,
20,3,fidelity,ovr_fidelity,fisher_fidelity,20,0.8334801130060943,0.8134714189990725,0.8530320052508757,0.794811680394118,0.7776091423122271,0.812105360094177,0.03866843261197625,0.001689910888671875,0.7619047619047619,True,
20,4,fidelity,ovr_fidelity,fisher_fidelity,20,0.8215901958741476,0.8112056303997364,0.8342429235438401,0.7975555031134258,0.7874098743447029,0.8073701498570124,0.02403469276072186,0.0019855499267578125,0.7523809523809524,True,
20,5,fidelity,ovr_fidelity,fisher_fidelity,20,0.8152217528027756,0.8062309433970295,0.8253295613705687,0.7976181222530727,0.7920038432373254,0.8038090717822675,0.01760363054970331,0.000133514404296875,0.8857142857142857,True,
8,3,fidelity,ovr_fidelity,contrastive_fidelity,20,0.8294431460192151,0.813103358450803,0.8451582706215144,0.8262580775479978,0.8096967454105507,0.842261996989246,0.003185068471217062,0.00830841064453125,0.6571428571428571,False,
