n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
8,3,S_W helps?,pooled_hard,centroid_hard,20,0.9633928571428573,0.9519308035714287,0.9735119047619047,0.911011904761905,0.8888392857142859,0.9305059523809524,0.052380952380952375,0.00013957070240017467,0.9714285714285714,True
8,4,S_W helps?,pooled_hard,centroid_hard,20,0.9663690476190476,0.9574404761904762,0.9742559523809522,0.8828869047619048,0.8660714285714286,0.8995535714285714,0.08348214285714284,8.832385863081277e-05,1.0,True
8,5,S_W helps?,pooled_hard,centroid_hard,20,0.9617559523809526,0.9546130952380952,0.9687537202380954,0.8964285714285716,0.8767819940476191,0.9133928571428571,0.06532738095238096,8.844915021211901e-05,1.0,True
14,3,S_W helps?,pooled_hard,centroid_hard,20,0.9501098901098899,0.9373351648351649,0.9598358516483515,0.8962362637362637,0.8780762362637361,0.9114285714285714,0.053873626373626374,3.814697265625e-06,0.9904761904761905,True
14,4,S_W helps?,pooled_hard,centroid_hard,20,0.9498076923076922,0.9412637362637364,0.9579395604395604,0.8809340659340659,0.8541201923076922,0.9037108516483516,0.06887362637362637,1.9073486328125e-06,1.0,True
14,5,S_W helps?,pooled_hard,centroid_hard,20,0.9524725274725274,0.9462637362637363,0.9585714285714285,0.8738461538461537,0.8597245879120881,0.887830357142857,0.07862637362637363,1.9073486328125e-06,1.0,True
20,3,S_W helps?,pooled_hard,centroid_hard,20,0.9462124060150376,0.9383453947368422,0.9531675281954886,0.8816729323308271,0.8670204417293235,0.8952537593984962,0.06453947368421054,1.9073486328125e-06,1.0,True
20,4,S_W helps?,pooled_hard,centroid_hard,20,0.9406954887218044,0.9319544172932329,0.9492960526315789,0.8767951127819549,0.8599149436090224,0.8906304041353382,0.06390037593984962,1.9073486328125e-06,1.0,True
20,5,S_W helps?,pooled_hard,centroid_hard,20,0.9447932330827067,0.9349149436090225,0.9523310620300751,0.8686654135338344,0.8523117951127821,0.8836473214285714,0.07612781954887218,8.844915021211901e-05,1.0,True
8,3,S_W helps?,pooled_soft,centroid_soft,20,0.9834821428571431,0.9784226190476192,0.9880952380952379,0.9175595238095239,0.8967261904761905,0.9357142857142859,0.06592261904761901,8.819870204194453e-05,1.0,True
