n_features,n_classes,K,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
8,3,2.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.4104166666666666,0.3638715277777777,0.4590277777777777,0.54375,0.48472222222222217,0.6090277777777777,-0.13333333333333336,0.0015029853258446506,-0.8095238095238095,True
8,3,5.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.562202380952381,0.537921626984127,0.5857161458333333,0.6652281746031746,0.6336793154761905,0.6968272569444444,-0.10302579365079363,8.20159912109375e-05,-0.9047619047619048,True
8,4,2.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.31180555555555556,0.2809027777777778,0.34756944444444443,0.36111111111111105,0.32673611111111106,0.4007031249999999,-0.04930555555555553,0.0009416622968818007,-0.8428571428571429,True
8,4,5.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.5458829365079365,0.5233382936507935,0.5690724206349206,0.5494667658730157,0.530368923611111,0.5686309523809523,-0.003583829365079369,0.8227452173339953,-0.05714285714285714,False
8,5,2.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.26708333333333334,0.24854166666666666,0.28541666666666665,0.3088888888888889,0.2760399305555556,0.34291840277777774,-0.041805555555555554,0.0758514404296875,-0.45714285714285713,False
8,5,5.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.5120610119047619,0.49600390624999996,0.5290414806547618,0.538640873015873,0.5232013268849205,0.5557134176587301,-0.026579861111111103,0.03276824951171875,-0.5428571428571428,False
14,3,4.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.45055555555555554,0.4117455357142857,0.4893650793650794,0.5638860544217685,0.5218649376417231,0.606862244897959,-0.11333049886621316,0.0007076263427734375,-0.8095238095238095,True
14,3,8.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.5643480593480594,0.5444929815554814,0.5850859672734672,0.6548413623413623,0.6207156986531985,0.6883264050764051,-0.09049330299330302,0.000209808349609375,-0.8666666666666667,True
14,4,4.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.36537698412698416,0.3397914186507936,0.3908447420634921,0.38392857142857145,0.35288665674603176,0.4173819444444444,-0.018551587301587284,0.47490501403808594,-0.19047619047619047,False
14,4,8.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.5282330169830171,0.509892072048322,0.5449985674048174,0.5410308672808672,0.519140481046731,0.5632363631738632,-0.012797850297850313,0.3117942810058594,-0.26666666666666666,False
14,5,4.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.3234583333333334,0.30455252976190483,0.3449172619047619,0.3276488095238095,0.30970386904761904,0.3440679563492063,-0.0041904761904761655,0.6215133666992188,-0.13333333333333333,False
14,5,8.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.4860135975135975,0.47253767482517484,0.49936118881118874,0.48761334961334957,0.4759748087560587,0.4990308090058089,-0.0015997520997521387,0.9854354858398438,0.009523809523809525,False
20,3,6.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.41803481240981244,0.38865850468975466,0.44951359577922084,0.6418353174603175,0.5800928706709956,0.7061631268037517,-0.22380050505050506,3.62396240234375e-05,-0.9333333333333333,True
20,3,12.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.5796807511803642,0.558872924380616,0.5983871561445092,0.722366892438487,0.6776561840238795,0.7700162021286246,-0.14268614125812268,1.9073486328125e-06,-1.0,True
20,4,6.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.35437094155844157,0.3284421672077923,0.3796407039141414,0.4153183621933622,0.38708327696608946,0.44655852047258293,-0.060947420634920646,0.01923370361328125,-0.5904761904761905,False
20,4,12.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.527075205925825,0.5095442885234389,0.5447091305989332,0.5589810298275856,0.5387819263586001,0.5822695758001244,-0.031905823901760444,0.069580078125,-0.4666666666666667,False
20,5,6.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.32591720779220773,0.30942340367965365,0.3423689664502164,0.3645559163059163,0.34063725423881674,0.38830350378787876,-0.038638708513708486,0.058258056640625,-0.4857142857142857,False
20,5,12.0,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.5008639053799656,0.49027952607409353,0.5117464809152406,0.5297154360732148,0.5143001519754323,0.5455423787480579,-0.028851530693248972,0.0031528472900390625,-0.7238095238095238,True
8,3,,stability_normalized,ovr_pairdiff_variance_normalized,fisher_pairdiff_variance_normalized,20,0.03287088322063362,0.024474767625855362,0.041466650419943046,0.07237710336862338,0.05445018417489382,0.090120762194335,-0.03950622014798977,1.9073486328125e-06,-1.0,True
8,4,,stability_normalized,ovr_pairdiff_variance_normalized,fisher_pairdiff_variance_normalized,20,0.024386262306571694,0.019622271286831767,0.029865889693483243,0.0645920114890465,0.050418065345810274,0.07985785152056303,-0.040205749182474805,1.9073486328125e-06,-1.0,True
8,5,,stability_normalized,ovr_pairdiff_variance_normalized,fisher_pairdiff_variance_normalized,20,0.022697198264801575,0.019191912881092302,0.026436771573787286,0.050981042686652565,0.04441972883924321,0.05801700390318703,-0.028283844421851,1.9073486328125e-06,-1.0,True
14,3,,stability_normalized,ovr_pairdiff_variance_normalized,fisher_pairdiff_variance_normalized,20,0.0641311044888578,0.04398545012969508,0.08687470513017136,0.15309482238714606,0.11735189660555177,0.19255473766338174,-0.08896371789828829,1.9073486328125e-06,-1.0,True
14,4,,stability_normalized,ovr_pairdiff_variance_normalized,fisher_pairdiff_variance_normalized,20,0.050142453999866984,0.04203423886469717,0.05881597564254007,0.13475951350352927,0.11217738170160968,0.16111320239151453,-0.0846170595036623,1.9073486328125e-06,-1.0,True
14,5,,stability_normalized,ovr_pairdiff_variance_normalized,fisher_pairdiff_variance_normalized,20,0.04618682237819838,0.040008785713268956,0.05275265853938111,0.11348451610914823,0.09997477355529408,0.12908688315224412,-0.06729769373094985,1.9073486328125e-06,-1.0,True
20,3,,stability_normalized,ovr_pairdiff_variance_normalized,fisher_pairdiff_variance_normalized,20,0.09800487985178595,0.06929494453352529,0.1326277112665768,0.21762243158652014,0.1685624620122579,0.2777301125496314,-0.11961755173473418,1.9073486328125e-06,-1.0,True
20,4,,stability_normalized,ovr_pairdiff_variance_normalized,fisher_pairdiff_variance_normalized,20,0.0628317615075177,0.053230805472889456,0.07293137885484015,0.16766447158097872,0.13392905582689166,0.2114737183405773,-0.10483271007346102,1.9073486328125e-06,-1.0,True
20,5,,stability_normalized,ovr_pairdiff_variance_normalized,fisher_pairdiff_variance_normalized,20,0.06110475083411421,0.05331750423283059,0.06922953805665967,0.15781102934754346,0.1381520679537532,0.17819530048854504,-0.09670627851342925,1.9073486328125e-06,-1.0,True
