n_features,n_classes,K,sum_to_one_deviation,sum_to_one_deviation_topk,ovr_feature_overlap,fisher_feature_overlap,ovr_pairdiff_variance,fisher_pairdiff_variance,ovr_pairdiff_variance_normalized,fisher_pairdiff_variance_normalized,ovr_pairdiff_mean_norm,fisher_pairdiff_mean_norm,seed
8,3,2,8.396061623727746e-17,0.0011400709542940105,0.4104166666666666,0.54375,0.0010882334212497307,1.5615436282262787e-05,0.03287088322063362,0.07237710336862338,0.21575618872240304,0.015458914999952486,9.5
8,3,5,8.396061623727746e-17,0.001539354076857756,0.562202380952381,0.6652281746031746,0.0010882334212497307,1.5615436282262787e-05,0.03287088322063362,0.07237710336862338,0.21575618872240304,0.015458914999952486,9.5
8,4,2,8.396061623727746e-17,0.0015704868441990358,0.31180555555555556,0.36111111111111105,0.0006061401371334239,1.1177311540133014e-05,0.024386262306571694,0.0645920114890465,0.16357661214146205,0.01239109931725189,9.5
8,4,5,8.396061623727746e-17,0.0020649572770013807,0.5458829365079365,0.5494667658730158,0.0006061401371334239,1.1177311540133014e-05,0.024386262306571694,0.0645920114890465,0.16357661214146205,0.01239109931725189,9.5
8,5,2,8.049116928532385e-17,0.0017260714087826861,0.26708333333333334,0.3088888888888889,0.0004721517572030048,8.168725121974222e-06,0.022697198264801575,0.05098104268665258,0.1469996965729718,0.012114697335440029,9.5
8,5,5,8.049116928532385e-17,0.0024070212999111377,0.5120610119047619,0.538640873015873,0.0004721517572030048,8.168725121974222e-06,0.022697198264801575,0.05098104268665258,0.1469996965729718,0.012114697335440029,9.5
14,3,4,7.563394355258879e-17,0.0010939343879066226,0.45055555555555554,0.5630827593091744,0.0014438263674901915,3.566263375861701e-05,0.06413110448885778,0.15421893562277722,0.1712310307793258,0.01538473253428264,9.5
14,3,8,7.563394355258879e-17,0.0009540191142750357,0.5643480593480593,0.6541952340694479,0.0014438263674901915,3.566263375861701e-05,0.06413110448885778,0.15421893562277722,0.1712310307793258,0.01538473253428264,9.5
14,4,4,8.257283745649602e-17,0.001703696658239394,0.3653769841269841,0.3839285714285714,0.0006609960952247368,1.90744574283245e-05,0.05014245399986698,0.13475951350352927,0.12069560728932427,0.011921295698185123,9.5
14,4,8,8.257283745649602e-17,0.0015825850879520723,0.528233016983017,0.5410308672808672,0.0006609960952247368,1.90744574283245e-05,0.05014245399986698,0.13475951350352927,0.12069560728932427,0.011921295698185123,9.5
14,5,4,7.771561172376095e-17,0.0018273072143894765,0.3234583333333333,0.32764880952380954,0.0003872539935696233,1.1746063201958103e-05,0.046186822378198385,0.11348451610914823,0.09650412974235448,0.01025714321305477,9.5
14,5,8,7.771561172376095e-17,0.0018189211448562843,0.4860135975135974,0.48761334961334957,0.0003872539935696233,1.1746063201958103e-05,0.046186822378198385,0.11348451610914823,0.09650412974235448,0.01025714321305477,9.5
20,3,6,7.355227538141662e-17,0.0009331478235036994,0.41803481240981244,0.6418353174603174,0.0015241427740698913,6.557004844370956e-05,0.09800487985178596,0.21762243158652014,0.15045405313061005,0.017412089096280125,9.5
20,3,12,7.355227538141662e-17,0.0009066105866006438,0.5796807511803641,0.7223668924384868,0.0015241427740698913,6.557004844370956e-05,0.09800487985178596,0.21762243158652014,0.15045405313061005,0.017412089096280125,9.5
20,4,6,7.840950111415169e-17,0.0014638692748832872,0.35437094155844157,0.4153183621933622,0.0006524559478769579,3.2881457735142e-05,0.06283176150751768,0.16766447158097872,0.10895893207868548,0.013237225240999887,9.5
20,4,12,7.840950111415169e-17,0.0012938561470747316,0.5270752059258251,0.5589810298275856,0.0006524559478769579,3.2881457735142e-05,0.06283176150751768,0.16766447158097872,0.10895893207868548,0.013237225240999887,9.5
20,5,6,6.800116025829084e-17,0.0013212615922793534,0.3259172077922078,0.3645559163059163,0.00040831520916745963,1.951972021403669e-05,0.06110475083411421,0.15781102934754346,0.08710051601988689,0.0112830319742287,9.5
20,5,12,6.800116025829084e-17,0.0012477838089711701,0.5008639053799657,0.5297154360732147,0.00040831520916745963,1.951972021403669e-05,0.06110475083411421,0.15781102934754346,0.08710051601988689,0.0112830319742287,9.5
