n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
8,3,extreme_fidelity,extreme_contrastive,extreme_ovr,20,0.9525037808519017,0.9319341117457206,0.9711192859611505,0.9480361067317306,0.9256853638330813,0.9685181692684778,0.004467674120171183,0.0534743671544843,0.5666666666666667,False
8,4,extreme_fidelity,extreme_contrastive,extreme_ovr,20,0.922703928579484,0.9018969632751137,0.9383737866570215,0.9141596149136684,0.8899461669628764,0.9325693283524049,0.008544313665815434,0.0014324188232421875,0.7714285714285715,True
8,5,extreme_fidelity,extreme_contrastive,extreme_ovr,20,0.8945662111779523,0.8856207149410117,0.9032860466529989,0.8847300890138049,0.8750766342676533,0.8941807594532166,0.009836122164147337,2.6702880859375e-05,0.9428571428571428,True
14,3,extreme_fidelity,extreme_contrastive,extreme_ovr,20,0.9742694186013366,0.9567270715241822,0.9884841295877156,0.9737868240045351,0.955461626208058,0.9881474162608357,0.00048259459680164986,0.2626182904425206,0.4444444444444444,False
14,4,extreme_fidelity,extreme_contrastive,extreme_ovr,20,0.9572672064463974,0.9432768657546107,0.9703401020570882,0.9480264808781254,0.9320693179850252,0.9638534365146948,0.009240725568272,0.001689910888671875,0.7619047619047619,True
14,5,extreme_fidelity,extreme_contrastive,extreme_ovr,20,0.9244880388437217,0.9140615863563862,0.9348456650432918,0.9154303073991142,0.9036910389685284,0.9268652953217492,0.009057731444607264,1.9073486328125e-05,0.9523809523809523,True
20,3,extreme_fidelity,extreme_contrastive,extreme_ovr,20,0.9637628619483927,0.9325526001280139,0.9880657603335257,0.9620696052314249,0.9297146412667772,0.9869747885688573,0.0016932567169677172,0.07961580146011343,0.8666666666666667,False
20,4,extreme_fidelity,extreme_contrastive,extreme_ovr,20,0.9714399494988528,0.9637759011335688,0.9789250467396345,0.9635609679543089,0.9540548464787609,0.972501983150826,0.007878981544543995,0.001644006329825974,0.869281045751634,True
20,5,extreme_fidelity,extreme_contrastive,extreme_ovr,20,0.9322467642154837,0.9245698292850563,0.9392302230440325,0.9224900214107136,0.9127207996208839,0.9311146304458897,0.009756742804770064,5.7220458984375e-06,0.9809523809523809,True
8,3,extreme_fidelity,extreme_fisher,extreme_ovr,20,0.9098583939488716,0.8798788592517455,0.9380050350675081,0.9480361067317306,0.9256853638330813,0.9685181692684778,-0.03817771278285889,1.9073486328125e-06,-1.0,True
