n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
8,3,hellinger,ovr_hellinger,fisher_hard_hellinger,20,0.017515495695973847,0.016240711475542857,0.01880234990665095,0.05267429678958195,0.04832378056973735,0.05751243914714731,-0.035158801093608104,1.9073486328125e-06,-1.0,True
8,4,hellinger,ovr_hellinger,fisher_hard_hellinger,20,0.02484339440316817,0.02399329039622792,0.025763245360997177,0.06724175071243468,0.06541501273141029,0.06922973084078543,-0.04239835630926649,1.9073486328125e-06,-1.0,True
8,5,hellinger,ovr_hellinger,fisher_hard_hellinger,20,0.0326343714452991,0.03131754642000818,0.0338808154960528,0.08470537858935079,0.08226545369030744,0.08739604232036348,-0.05207100714405168,1.9073486328125e-06,-1.0,True
14,3,hellinger,ovr_hellinger,fisher_hard_hellinger,20,0.009711428775882318,0.008774790036543164,0.010684345976942174,0.05019752178487934,0.04480843976063231,0.05625278620465071,-0.04048609300899701,1.9073486328125e-06,-1.0,True
14,4,hellinger,ovr_hellinger,fisher_hard_hellinger,20,0.015496809164568534,0.014486210139951121,0.01655621937426254,0.0657467580106154,0.06103716933996191,0.07088356428859147,-0.05024994884604687,1.9073486328125e-06,-1.0,True
14,5,hellinger,ovr_hellinger,fisher_hard_hellinger,20,0.018521001049762044,0.01762953012033989,0.019433760714058054,0.0697615912365289,0.06698205741352596,0.07265993510913003,-0.05124059018676687,1.9073486328125e-06,-1.0,True
20,3,hellinger,ovr_hellinger,fisher_hard_hellinger,20,0.007654906205312756,0.006993307729754714,0.00839360993411293,0.05664795974263866,0.048597100219767694,0.06560351245700266,-0.0489930535373259,1.9073486328125e-06,-1.0,True
20,4,hellinger,ovr_hellinger,fisher_hard_hellinger,20,0.011117238957012297,0.010473437592709668,0.01172518905753636,0.06890523088337817,0.06463633199724765,0.07318276674399923,-0.057787991926365856,1.9073486328125e-06,-1.0,True
20,5,hellinger,ovr_hellinger,fisher_hard_hellinger,20,0.013917649685689593,0.013304562046086281,0.014579812617474075,0.07274330579175964,0.0704094029365558,0.0748570856519984,-0.058825656106070046,1.9073486328125e-06,-1.0,True
8,3,hellinger,ovr_hellinger,fisher_soft_hellinger,20,0.017515495695973847,0.016240711475542857,0.01880234990665095,0.035812246773475394,0.03248169007452693,0.03918077525753672,-0.018296751077501543,1.9073486328125e-06,-1.0,True
8,4,hellinger,ovr_hellinger,fisher_soft_hellinger,20,0.02484339440316817,0.02399329039622792,0.025763245360997177,0.05373194474558497,0.05117915341565963,0.056408522952624746,-0.028888550342416795,1.9073486328125e-06,-1.0,True
8,5,hellinger,ovr_hellinger,fisher_soft_hellinger,20,0.0326343714452991,0.03131754642000818,0.0338808154960528,0.07147040694057738,0.06832936809090617,0.07445205053331745,-0.03883603549527829,1.9073486328125e-06,-1.0,True
14,3,hellinger,ovr_hellinger,fisher_soft_hellinger,20,0.009711428775882318,0.008774790036543164,0.010684345976942174,0.020637873648908754,0.017919053902111452,0.023492120171698033,-0.010926444873026435,1.9073486328125e-06,-1.0,True
14,4,hellinger,ovr_hellinger,fisher_soft_hellinger,20,0.015496809164568534,0.014486210139951121,0.01655621937426254,0.032528825252110254,0.030037160487462303,0.035040811266100716,-0.017032016087541728,1.9073486328125e-06,-1.0,True
14,5,hellinger,ovr_hellinger,fisher_soft_hellinger,20,0.018521001049762044,0.01762953012033989,0.019433760714058054,0.041287031542850426,0.03956757799956816,0.04307453969386298,-0.022766030493088386,1.9073486328125e-06,-1.0,True
20,3,hellinger,ovr_hellinger,fisher_soft_hellinger,20,0.007654906205312756,0.006993307729754714,0.00839360993411293,0.01679090806985676,0.015004754878459583,0.018840394188247327,-0.009136001864543998,1.9073486328125e-06,-1.0,True
20,4,hellinger,ovr_hellinger,fisher_soft_hellinger,20,0.011117238957012297,0.010473437592709668,0.01172518905753636,0.024440783043004947,0.023096833204120766,0.025788700472588803,-0.013323544085992647,1.9073486328125e-06,-1.0,True
20,5,hellinger,ovr_hellinger,fisher_soft_hellinger,20,0.013917649685689593,0.013304562046086281,0.014579812617474075,0.03096187273598282,0.02958560360377712,0.032279085724905676,-0.017044223050293236,1.9073486328125e-06,-1.0,True
8,3,hellinger,fisher_hard_hellinger,fisher_soft_hellinger,20,0.05267429678958195,0.04832378056973735,0.05751243914714731,0.035812246773475394,0.03248169007452693,0.03918077525753672,0.016862050016106564,1.9073486328125e-06,1.0,True
8,4,hellinger,fisher_hard_hellinger,fisher_soft_hellinger,20,0.06724175071243468,0.06541501273141029,0.06922973084078543,0.05373194474558497,0.05117915341565963,0.056408522952624746,0.013509805966849694,1.9073486328125e-06,1.0,True
8,5,hellinger,fisher_hard_hellinger,fisher_soft_hellinger,20,0.08470537858935079,0.08226545369030744,0.08739604232036348,0.07147040694057738,0.06832936809090617,0.07445205053331745,0.0132349716487734,1.9073486328125e-06,1.0,True
14,3,hellinger,fisher_hard_hellinger,fisher_soft_hellinger,20,0.05019752178487934,0.04480843976063231,0.05625278620465071,0.020637873648908754,0.017919053902111452,0.023492120171698033,0.02955964813597059,1.9073486328125e-06,1.0,True
