n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
8,3,spearman,contrastive_spearman,pairwise_lime_spearman,20,0.9991071428571429,0.9976190476190476,1.0,0.9861607142857143,0.9813988095238095,0.990625,0.01294642857142853,0.000423413149606975,1.0,True
8,4,spearman,contrastive_spearman,pairwise_lime_spearman,20,0.9994047619047619,0.9985119047619048,1.0,0.9894345238095241,0.9858630952380952,0.992559523809524,0.00997023809523806,1.9073486328125e-06,1.0,True
8,5,spearman,contrastive_spearman,pairwise_lime_spearman,20,0.9980654761904763,0.9956845238095239,0.9997023809523811,0.9877976190476192,0.984375,0.9912202380952382,0.010267857142857106,0.0003979199212278467,0.9473684210526315,True
14,3,spearman,contrastive_spearman,pairwise_lime_spearman,20,0.9992307692307694,0.9985439560439561,0.9997802197802198,0.9843956043956045,0.9795054945054946,0.9882973901098902,0.014835164835164805,1.9073486328125e-06,1.0,True
14,4,spearman,contrastive_spearman,pairwise_lime_spearman,20,0.9993956043956043,0.9985714285714288,0.9998901098901098,0.9863186813186813,0.9831868131868132,0.9890934065934065,0.013076923076923092,1.9073486328125e-06,1.0,True
14,5,spearman,contrastive_spearman,pairwise_lime_spearman,20,0.9997252747252748,0.9994505494505495,0.999945054945055,0.9894230769230768,0.9874725274725273,0.991208791208791,0.010302197802197793,1.9073486328125e-06,1.0,True
20,3,spearman,contrastive_spearman,pairwise_lime_spearman,20,0.9996428571428572,0.9993796992481203,0.9998496240601502,0.9855357142857141,0.98253712406015,0.988364896616541,0.014107142857142967,1.9073486328125e-06,1.0,True
20,4,spearman,contrastive_spearman,pairwise_lime_spearman,20,0.999812030075188,0.99968984962406,0.9999154135338346,0.9866635338345862,0.9839661654135338,0.9891447368421051,0.013148496240601609,1.9073486328125e-06,1.0,True
20,5,spearman,contrastive_spearman,pairwise_lime_spearman,20,0.9993984962406014,0.998703007518797,0.9998308270676691,0.9888345864661652,0.9868703007518798,0.9906015037593983,0.010563909774436192,1.9073486328125e-06,1.0,True
8,3,spearman,ovo_logistic_spearman,pairwise_lime_spearman,20,0.9958333333333336,0.9936011904761906,0.9977678571428571,0.9861607142857143,0.9813988095238095,0.990625,0.009672619047619018,0.0003668434514511666,0.9803921568627451,True
8,4,spearman,ovo_logistic_spearman,pairwise_lime_spearman,20,0.9970238095238095,0.9947916666666667,0.9989583333333332,0.9894345238095241,0.9858630952380952,0.992559523809524,0.007589285714285687,8.20159912109375e-05,0.9095238095238095,True
8,5,spearman,ovo_logistic_spearman,pairwise_lime_spearman,20,0.9974702380952382,0.9961309523809525,0.9986607142857142,0.9877976190476192,0.984375,0.9912202380952382,0.009672619047619013,0.00018141806611291292,1.0,True
14,3,spearman,ovo_logistic_spearman,pairwise_lime_spearman,20,0.9949175824175824,0.9915103021978021,0.9976373626373626,0.9843956043956045,0.9795054945054946,0.9882973901098902,0.010521978021978007,1.9073486328125e-06,1.0,True
14,4,spearman,ovo_logistic_spearman,pairwise_lime_spearman,20,0.9981868131868132,0.9974175824175825,0.9987912087912088,0.9863186813186813,0.9831868131868132,0.9890934065934065,0.011868131868131886,1.9073486328125e-06,1.0,True
14,5,spearman,ovo_logistic_spearman,pairwise_lime_spearman,20,0.998598901098901,0.9981318681318682,0.9990659340659341,0.9894230769230768,0.9874725274725273,0.991208791208791,0.00917582417582417,1.9073486328125e-06,1.0,True
20,3,spearman,ovo_logistic_spearman,pairwise_lime_spearman,20,0.9977255639097743,0.9968796992481203,0.99843984962406,0.9855357142857141,0.98253712406015,0.988364896616541,0.01218984962406024,1.9073486328125e-06,1.0,True
20,4,spearman,ovo_logistic_spearman,pairwise_lime_spearman,20,0.9989097744360903,0.9985714285714286,0.99921992481203,0.9866635338345862,0.9839661654135338,0.9891447368421051,0.012246240601503849,1.9073486328125e-06,1.0,True
20,5,spearman,ovo_logistic_spearman,pairwise_lime_spearman,20,0.9988063909774436,0.9983646616541353,0.9991823308270676,0.9888345864661652,0.9868703007518798,0.9906015037593983,0.00997180451127827,1.9073486328125e-06,1.0,True
8,3,spearman,contrastive_spearman,ovo_logistic_spearman,20,0.9991071428571429,0.9976190476190476,1.0,0.9958333333333336,0.9936011904761906,0.9977678571428571,0.003273809523809512,0.010129988775018025,0.8333333333333334,True
8,4,spearman,contrastive_spearman,ovo_logistic_spearman,20,0.9994047619047619,0.9985119047619048,1.0,0.9970238095238095,0.9947916666666667,0.9989583333333332,0.0023809523809523725,0.0169473483375683,1.0,True
