n_features,n_classes,ridge_spearman,ridge_recall,logistic_spearman,logistic_recall,seed
8,3,1.0,1.0,1.0,1.0,0
8,3,1.0,1.0,1.0,1.0,0
8,3,1.0,1.0,1.0,1.0,0
8,3,1.0,1.0,1.0,1.0,0
8,3,1.0,1.0,1.0,1.0,0
8,3,1.0,1.0,1.0,1.0,0
8,3,1.0,1.0,1.0,1.0,0
8,3,1.0,1.0,1.0,1.0,0
8,3,1.0,1.0,1.0,1.0,1
8,3,1.0,1.0,0.9761904761904763,1.0,1
8,3,1.0,1.0,1.0,1.0,1
8,3,1.0,1.0,0.9761904761904763,1.0,1
8,3,1.0,1.0,1.0,1.0,1
8,3,1.0,1.0,1.0,1.0,1
8,3,1.0,1.0,0.9761904761904763,1.0,1
8,3,1.0,1.0,1.0,1.0,1
8,3,1.0,1.0,0.9761904761904763,1.0,2
8,3,1.0,1.0,0.9761904761904763,1.0,2
8,3,1.0,1.0,1.0,1.0,2
8,3,1.0,1.0,1.0,1.0,2
8,3,1.0,1.0,0.9761904761904763,1.0,2
8,3,1.0,1.0,1.0,1.0,2
8,3,1.0,1.0,0.9761904761904763,1.0,2
8,3,1.0,1.0,1.0,1.0,2
8,3,1.0,1.0,1.0,1.0,3
8,3,1.0,1.0,1.0,1.0,3
8,3,1.0,1.0,1.0,1.0,3
8,3,1.0,1.0,1.0,1.0,3
8,3,1.0,1.0,1.0,1.0,3
8,3,1.0,1.0,1.0,1.0,3
8,3,1.0,1.0,1.0,1.0,3
8,3,1.0,1.0,1.0,1.0,3
8,3,1.0,1.0,1.0,1.0,4
8,3,1.0,1.0,1.0,1.0,4
8,3,1.0,1.0,1.0,1.0,4
8,3,1.0,1.0,1.0,1.0,4
8,3,1.0,1.0,1.0,1.0,4
8,3,1.0,1.0,1.0,1.0,4
8,3,1.0,1.0,1.0,1.0,4
8,3,1.0,1.0,1.0,1.0,4
8,3,1.0,1.0,1.0,1.0,5
8,3,1.0,1.0,1.0,1.0,5
8,3,1.0,1.0,1.0,1.0,5
8,3,1.0,1.0,0.9761904761904763,1.0,5
8,3,1.0,1.0,1.0,1.0,5
8,3,1.0,1.0,1.0,1.0,5
8,3,1.0,1.0,0.9761904761904763,1.0,5
8,3,1.0,1.0,1.0,1.0,5
8,3,1.0,1.0,0.9761904761904763,1.0,6
8,3,1.0,1.0,0.9761904761904763,1.0,6
8,3,1.0,1.0,1.0,1.0,6
8,3,1.0,1.0,1.0,1.0,6
8,3,1.0,1.0,1.0,1.0,6
8,3,1.0,1.0,1.0,1.0,6
8,3,1.0,1.0,1.0,1.0,6
8,3,1.0,1.0,1.0,1.0,6
8,3,1.0,1.0,1.0,1.0,7
8,3,1.0,1.0,1.0,1.0,7
8,3,1.0,1.0,1.0,1.0,7
8,3,1.0,1.0,1.0,1.0,7
8,3,1.0,1.0,1.0,0.75,7
8,3,1.0,1.0,1.0,1.0,7
8,3,1.0,1.0,1.0,1.0,7
8,3,1.0,1.0,0.9761904761904763,0.75,7
8,3,1.0,1.0,1.0,1.0,8
8,3,1.0,1.0,1.0,1.0,8
8,3,1.0,1.0,1.0,1.0,8
8,3,1.0,1.0,1.0,1.0,8
8,3,1.0,1.0,1.0,1.0,8
8,3,1.0,1.0,1.0,1.0,8
8,3,1.0,1.0,1.0,1.0,8
8,3,1.0,1.0,1.0,1.0,8
8,3,1.0,1.0,1.0,1.0,9
8,3,1.0,1.0,1.0,1.0,9
8,3,1.0,1.0,1.0,1.0,9
8,3,1.0,1.0,1.0,1.0,9
8,3,1.0,1.0,1.0,1.0,9
8,3,1.0,1.0,1.0,1.0,9
8,3,1.0,1.0,1.0,1.0,9
8,3,1.0,1.0,1.0,1.0,9
8,3,1.0,1.0,1.0,1.0,10
8,3,1.0,1.0,1.0,1.0,10
8,3,1.0,1.0,1.0,0.75,10
8,3,1.0,1.0,1.0,1.0,10
8,3,1.0,1.0,1.0,1.0,10
8,3,1.0,1.0,1.0,1.0,10
8,3,1.0,1.0,1.0,1.0,10
8,3,1.0,1.0,1.0,1.0,10
8,3,1.0,1.0,0.9761904761904763,1.0,11
8,3,1.0,1.0,0.9761904761904763,1.0,11
8,3,1.0,1.0,1.0,1.0,11
8,3,1.0,1.0,1.0,1.0,11
8,3,1.0,1.0,1.0,1.0,11
8,3,1.0,1.0,1.0,1.0,11
8,3,1.0,1.0,1.0,1.0,11
8,3,1.0,1.0,0.9761904761904763,1.0,11
8,3,1.0,1.0,1.0,1.0,12
8,3,1.0,1.0,1.0,1.0,12
8,3,1.0,1.0,1.0,1.0,12
8,3,1.0,1.0,1.0,1.0,12
8,3,1.0,1.0,0.9761904761904763,1.0,12
8,3,1.0,1.0,1.0,1.0,12
8,3,1.0,1.0,1.0,1.0,12
8,3,1.0,1.0,1.0,0.75,12
8,3,1.0,1.0,1.0,1.0,13
8,3,1.0,1.0,1.0,1.0,13
8,3,1.0,1.0,1.0,1.0,13
8,3,1.0,1.0,1.0,1.0,13
8,3,0.9523809523809524,0.75,1.0,1.0,13
8,3,0.9761904761904763,0.75,1.0,0.75,13
8,3,1.0,1.0,0.9761904761904763,0.75,13
8,3,0.9761904761904763,0.75,0.9761904761904763,0.75,13
8,3,1.0,1.0,1.0,1.0,14
8,3,1.0,1.0,1.0,1.0,14
8,3,1.0,1.0,1.0,1.0,14
8,3,1.0,1.0,1.0,1.0,14
8,3,1.0,1.0,1.0,1.0,14
8,3,1.0,1.0,1.0,1.0,14
8,3,1.0,1.0,1.0,1.0,14
8,3,1.0,1.0,1.0,1.0,14
8,3,1.0,1.0,1.0,1.0,15
8,3,1.0,1.0,1.0,1.0,15
8,3,1.0,1.0,1.0,1.0,15
8,3,1.0,1.0,1.0,1.0,15
8,3,1.0,1.0,1.0,1.0,15
8,3,1.0,1.0,1.0,1.0,15
8,3,1.0,1.0,1.0,1.0,15
8,3,1.0,1.0,1.0,1.0,15
8,3,1.0,1.0,1.0,1.0,16
8,3,1.0,1.0,1.0,1.0,16
8,3,1.0,1.0,0.9761904761904763,1.0,16
8,3,1.0,1.0,1.0,1.0,16
8,3,1.0,1.0,1.0,1.0,16
8,3,1.0,1.0,1.0,1.0,16
8,3,1.0,1.0,1.0,1.0,16
8,3,1.0,1.0,1.0,1.0,16
8,3,1.0,1.0,0.9761904761904763,0.75,17
8,3,1.0,1.0,1.0,1.0,17
8,3,1.0,1.0,1.0,1.0,17
8,3,1.0,1.0,1.0,1.0,17
8,3,1.0,1.0,0.9761904761904763,0.75,17
8,3,1.0,1.0,1.0,1.0,17
8,3,1.0,1.0,1.0,1.0,17
8,3,1.0,1.0,1.0,1.0,17
8,3,1.0,1.0,1.0,1.0,18
8,3,1.0,1.0,1.0,1.0,18
