n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
8,3,spearman,logistic_spearman,ridge_spearman,20,0.9958333333333336,0.9936011904761906,0.9977678571428571,0.9991071428571429,0.9976190476190476,1.0,-0.003273809523809512,0.010129988775018025,-0.8333333333333334,True
8,4,spearman,logistic_spearman,ridge_spearman,20,0.9970238095238095,0.9947916666666667,0.9989583333333332,0.9994047619047619,0.9985119047619048,1.0,-0.0023809523809523725,0.0169473483375683,-1.0,True
8,5,spearman,logistic_spearman,ridge_spearman,20,0.9979166666666668,0.996577380952381,0.9991071428571429,0.9980654761904763,0.9956845238095239,0.9997023809523811,-0.00014880952380952328,0.28520227984324287,-0.4166666666666667,False
14,3,spearman,logistic_spearman,ridge_spearman,20,0.9949175824175824,0.9915103021978021,0.9976373626373626,0.9992307692307694,0.9985439560439561,0.9997802197802198,-0.0043131868131867975,0.00028452439090678006,-1.0,True
14,4,spearman,logistic_spearman,ridge_spearman,20,0.9983241758241761,0.9977472527472528,0.9988186813186815,0.9993956043956043,0.9985714285714288,0.9998901098901098,-0.0010714285714285676,0.0019781778964888994,-0.8245614035087719,True
14,5,spearman,logistic_spearman,ridge_spearman,20,0.9986263736263737,0.9981043956043958,0.9991208791208791,0.9997252747252748,0.9994505494505495,0.999945054945055,-0.001098901098901095,0.001446773571974159,-0.9619047619047619,True
20,3,spearman,logistic_spearman,ridge_spearman,20,0.9977255639097743,0.9968796992481203,0.99843984962406,0.9996428571428572,0.9993796992481203,0.9998496240601502,-0.0019172932330827285,0.00016093503419328258,-0.9619047619047619,True
20,4,spearman,logistic_spearman,ridge_spearman,20,0.9989285714285716,0.9985996240601503,0.9992295582706768,0.999812030075188,0.99968984962406,0.9999154135338346,-0.0008834586466165528,0.0001308020996998329,-1.0,True
20,5,spearman,logistic_spearman,ridge_spearman,20,0.9988627819548872,0.9984492481203009,0.99921992481203,0.9993984962406014,0.998703007518797,0.9998308270676691,-0.0005357142857143115,0.0026875362001015568,-0.7842105263157895,True
8,3,recall,logistic_recall,ridge_recall,20,0.984375,0.971875,0.9953125,0.9953125,0.9859375,1.0,-0.0109375,0.03843393023678171,-1.0,False
8,4,recall,logistic_recall,ridge_recall,20,0.9890625,0.9734375,1.0,0.9984375,0.9953125,1.0,-0.009375,0.1974660733580187,-0.7,False
8,5,recall,logistic_recall,ridge_recall,20,0.99375,0.9859375,1.0,0.990625,0.98125,0.9984375,0.003125,0.4795001221869535,0.3333333333333333,False
14,3,recall,logistic_recall,ridge_recall,20,0.9857142857142858,0.9714285714285715,0.9964285714285716,0.99375,0.98125,1.0,-0.00803571428571428,0.041226833337163676,-1.0,False
14,4,recall,logistic_recall,ridge_recall,20,0.98125,0.9714062499999999,0.9901785714285716,0.9964285714285716,0.9919642857142857,1.0,-0.015178571428571435,0.006371904155454383,-0.9242424242424242,False
14,5,recall,logistic_recall,ridge_recall,20,0.9901785714285716,0.9839285714285715,0.9955357142857144,0.9973214285714287,0.9928571428571429,1.0,-0.007142857142857134,0.031032519500144917,-0.8333333333333334,False
20,3,recall,logistic_recall,ridge_recall,20,0.975,0.9637499999999999,0.9856250000000001,0.9974999999999999,0.9943750000000001,1.0,-0.0225,0.002264893412465699,-0.9560439560439561,True
20,4,recall,logistic_recall,ridge_recall,20,0.9887499999999999,0.98125,0.9956250000000001,0.99875,0.9962500000000001,1.0,-0.009999999999999992,0.010613156038105713,-1.0,False
20,5,recall,logistic_recall,ridge_recall,20,0.99125,0.9843750000000002,0.996875,0.9950000000000001,0.99,0.99875,-0.0037499999999999977,0.1755543027732298,-0.6666666666666666,False
