n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
8,3,fidelity,logistic_fidelity,ridge_fidelity,20,0.8159485638856815,0.7952376737929907,0.8346868171518466,0.8091433199958129,0.7887690893223797,0.8279079041184356,0.0068052438898687,1.9073486328125e-06,1.0,True
8,4,fidelity,logistic_fidelity,ridge_fidelity,20,0.8157422999268151,0.8056443923816357,0.8266028081704981,0.8083830707733386,0.7989401611500998,0.8183306732241681,0.007359229153476432,3.814697265625e-06,0.9904761904761905,True
8,5,fidelity,logistic_fidelity,ridge_fidelity,20,0.8187580126004402,0.8096152157174156,0.8280548274765219,0.8090409748382626,0.7998956772336305,0.8183314697373589,0.009717037762177399,1.9073486328125e-06,1.0,True
14,3,fidelity,logistic_fidelity,ridge_fidelity,20,0.82312909328309,0.8062789388880787,0.8396871501696149,0.8206414854414902,0.8040072950849341,0.8372505614063513,0.0024876078415998924,4.76837158203125e-05,0.9238095238095239,True
14,4,fidelity,logistic_fidelity,ridge_fidelity,20,0.8219567243627208,0.8061557335981642,0.8373587638772922,0.8182694449144476,0.8025746802112141,0.8340289592594341,0.0036872794482731173,1.9073486328125e-06,1.0,True
14,5,fidelity,logistic_fidelity,ridge_fidelity,20,0.8121509564523978,0.8031363301026552,0.8213636763110364,0.8088318615874386,0.7996682071107467,0.8180976483556753,0.0033190948649592265,0.0004825592041015625,0.8285714285714286,True
20,3,fidelity,logistic_fidelity,ridge_fidelity,20,0.8312540362400126,0.8107802531166141,0.8523765652705189,0.8298115391253008,0.8093113962657638,0.8509564090654489,0.0014424971147119659,0.0758514404296875,0.45714285714285713,False
20,4,fidelity,logistic_fidelity,ridge_fidelity,20,0.8198048457040639,0.8070716352851345,0.8327784358664809,0.817386994676703,0.8054552614637752,0.8300392995423924,0.0024178510273607733,0.0002613067626953125,0.8571428571428571,True
20,5,fidelity,logistic_fidelity,ridge_fidelity,20,0.8140745706937154,0.8040502456038121,0.8233719957824562,0.8105307982296581,0.8009232870558674,0.8194506841388605,0.0035437724640571765,3.814697265625e-06,0.9904761904761905,True
8,3,extreme,logistic_extreme,ridge_extreme,20,0.9524176394178259,0.9303285264532227,0.9698214273267579,0.9522424529142677,0.9301904507180305,0.9695822649329091,0.0001751865035582667,0.981116590883351,0.006535947712418301,False
8,4,extreme,logistic_extreme,ridge_extreme,20,0.9372227062166797,0.92478455435479,0.9485794379882336,0.9343007152304338,0.9214577137016344,0.9461381050028318,0.002921990986245915,0.02422372469374016,0.5894736842105263,False
