n_features,n_classes,K,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
8,3,2,fidelity_test,contrastive_fidelity_test,ovr_union_fidelity_test,20,0.7146835902701189,0.6840089825259812,0.747636156042772,0.7163212782474208,0.6844526373029854,0.7498250954394649,-0.0016376879773019105,0.5705966949462891,-0.1523809523809524,False
8,3,4,fidelity_test,contrastive_fidelity_test,ovr_union_fidelity_test,20,0.7703561353203507,0.748224714471827,0.7930960945600002,0.7729706699282716,0.7513859191213285,0.7954092251603048,-0.0026145346079206877,0.9272785186767578,-0.02857142857142857,False
8,4,2,fidelity_test,contrastive_fidelity_test,ovr_union_fidelity_test,20,0.6692490498561467,0.646170428412714,0.6934114044331198,0.6714188262321396,0.6511129490738573,0.6929314162426775,-0.002169776375992777,0.5216732025146484,-0.17142857142857143,False
8,4,4,fidelity_test,contrastive_fidelity_test,ovr_union_fidelity_test,20,0.7497362465647918,0.7336285876353575,0.7646990951050676,0.7454093933434471,0.7286495036127957,0.7615915653363541,0.004326853221344662,0.17685317993164062,0.3523809523809524,False
8,5,2,fidelity_test,contrastive_fidelity_test,ovr_union_fidelity_test,20,0.6630697281562014,0.6468569115741412,0.679368848429277,0.6615938664626018,0.6466535159952808,0.6766501502026899,0.001475861693599606,0.9854354858398438,0.009523809523809525,False
8,5,4,fidelity_test,contrastive_fidelity_test,ovr_union_fidelity_test,20,0.7427001375606375,0.7287426870844159,0.7565995588251274,0.7440607535044623,0.7318952519326362,0.7555256505396313,-0.0013606159438248945,0.7841262817382812,-0.0761904761904762,False
14,3,4,fidelity_test,contrastive_fidelity_test,ovr_union_fidelity_test,20,0.7914376939873233,0.7687281745684341,0.8164347799519772,0.7880226800140955,0.7641575460701502,0.8132284623264644,0.003415013973227965,0.13272666931152344,0.3904761904761905,False
14,3,7,fidelity_test,contrastive_fidelity_test,ovr_union_fidelity_test,20,0.8151758538451557,0.7959639460239657,0.8365542436144622,0.8156787573951292,0.7955127754683969,0.8370730146462362,-0.0005029035499736878,0.5958194732666016,-0.14285714285714285,False
14,4,4,fidelity_test,contrastive_fidelity_test,ovr_union_fidelity_test,20,0.7459584629598686,0.7253024763331368,0.7691270452913623,0.7497433707419672,0.7307298771765215,0.7717934334356867,-0.003784907782098701,0.2305126190185547,-0.3142857142857143,False
14,4,7,fidelity_test,contrastive_fidelity_test,ovr_union_fidelity_test,20,0.7845964630602998,0.7676955052211804,0.8033596959307903,0.7868770516130428,0.7710617362737268,0.8048082775091611,-0.002280588552742946,0.14290618896484375,-0.38095238095238093,False
14,5,4,fidelity_test,contrastive_fidelity_test,ovr_union_fidelity_test,20,0.7146383054510868,0.7030438052038397,0.7252961699771693,0.7176829141327274,0.7056155882961449,0.7292256666256458,-0.003044608681640748,0.1893482208251953,-0.34285714285714286,False
14,5,7,fidelity_test,contrastive_fidelity_test,ovr_union_fidelity_test,20,0.7605589005851052,0.7504731583796531,0.7706556679163139,0.7612799921838282,0.7532086635464519,0.7691488246768481,-0.0007210915987230116,0.9272785186767578,-0.02857142857142857,False
20,3,5,fidelity_test,contrastive_fidelity_test,ovr_union_fidelity_test,20,0.7756297273661334,0.7519463328473821,0.8037180319450943,0.7749651748969281,0.7508237475366185,0.8030643318971137,0.0006645524692054205,0.6008710115741303,0.1368421052631579,False
20,3,10,fidelity_test,contrastive_fidelity_test,ovr_union_fidelity_test,20,0.8061167451613299,0.7856186601939712,0.8293748673961149,0.80769587137203,0.7872900389592191,0.8308148639188732,-0.001579126210700349,0.5958194732666016,-0.14285714285714285,False
20,4,5,fidelity_test,contrastive_fidelity_test,ovr_union_fidelity_test,20,0.7611403427631039,0.7402567418452118,0.7820303763583459,0.7618108693732422,0.7404953628082642,0.7840466417095272,-0.0006705266101382834,0.9272785186767578,-0.02857142857142857,False
20,4,10,fidelity_test,contrastive_fidelity_test,ovr_union_fidelity_test,20,0.7954912476385887,0.7780748213399684,0.8118989303464248,0.7951823792933517,0.7782212307345323,0.8115230740171407,0.00030886834523699005,0.7841262817382812,0.0761904761904762,False
20,5,5,fidelity_test,contrastive_fidelity_test,ovr_union_fidelity_test,20,0.731012325000764,0.7155359671634327,0.7474057837132798,0.7349392698864685,0.7214242978439823,0.7494558206928366,-0.003926944885704597,0.15364646911621094,-0.37142857142857144,False
