n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
8,3,fidelity,pairkernel_fidelity,standard_fidelity,20,0.8163313097161415,0.7959360420839472,0.8346305520330518,0.8091433199958129,0.7887690893223797,0.8279079041184356,0.007187989720328619,9.5367431640625e-06,0.9714285714285714,True
8,4,fidelity,pairkernel_fidelity,standard_fidelity,20,0.8167000150443966,0.806939427847326,0.8273099375812344,0.8083830707733386,0.7989401611500998,0.8183306732241681,0.00831694427105793,9.5367431640625e-06,0.9714285714285714,True
8,5,fidelity,pairkernel_fidelity,standard_fidelity,20,0.8196336993936189,0.8103767259605607,0.8289531207814349,0.8090409748382626,0.7998956772336305,0.8183314697373589,0.010592724555356148,1.9073486328125e-06,1.0,True
14,3,fidelity,pairkernel_fidelity,standard_fidelity,20,0.8238455111735714,0.8072020642386357,0.8401532527190319,0.8206414854414902,0.8040072950849341,0.8372505614063513,0.003204025732081206,3.62396240234375e-05,0.9333333333333333,True
14,4,fidelity,pairkernel_fidelity,standard_fidelity,20,0.8233622107477275,0.8074579672328385,0.8388213391395721,0.8182694449144476,0.8025746802112141,0.8340289592594341,0.0050927658332798,1.9073486328125e-06,1.0,True
14,5,fidelity,pairkernel_fidelity,standard_fidelity,20,0.8124642005971067,0.803565342191508,0.8216202835851532,0.8088318615874386,0.7996682071107467,0.8180976483556753,0.003632339009668084,0.0002613067626953125,0.8571428571428571,True
20,3,fidelity,pairkernel_fidelity,standard_fidelity,20,0.8321026838000808,0.8116020955090498,0.8531571158817122,0.8298115391253008,0.8093113962657638,0.8509564090654489,0.0022911446747800324,0.000209808349609375,0.8666666666666667,True
20,4,fidelity,pairkernel_fidelity,standard_fidelity,20,0.8201735863854991,0.8073963889843958,0.8330373137015326,0.817386994676703,0.8054552614637752,0.8300392995423924,0.002786591708796066,0.0005855560302734375,0.819047619047619,True
20,5,fidelity,pairkernel_fidelity,standard_fidelity,20,0.81437125644242,0.8043041058657094,0.8236440526048509,0.8105307982296581,0.8009232870558674,0.8194506841388605,0.0038404582127618435,3.814697265625e-06,0.9904761904761905,True
8,3,extreme,pairkernel_extreme,standard_extreme,20,0.9506400073123054,0.9288241581207479,0.9680835247013581,0.9522424529142677,0.9301904507180305,0.9695822649329091,-0.0016024456019622546,0.17011443450093033,-0.3684210526315789,False
