n_features,n_classes,K,pair_lasso_recall,pair_lasso_spearman,fisher_select_recall,fisher_select_spearman,ridge_select_recall,ridge_select_spearman,joint_lasso_recall,joint_lasso_spearman,joint_refit_recall,joint_refit_spearman,seed
8,3,2,1.0,0.7325886315065459,0.5,0.7637626158259734,0.5,0.7637626158259734,0.5,0.5143707412705535,0.5,0.5143707412705535,0
8,3,5,0.8,0.8783100656536799,0.8,0.9271050693011065,0.8,0.9271050693011065,0.8,0.9271050693011065,0.8,0.9271050693011065,0
8,3,2,0.5,0.6546536707079772,1.0,0.7637626158259734,1.0,0.7637626158259734,0.0,-0.04676097647914123,0.0,0.04676097647914123,0
8,3,5,1.0,0.95150257112482,1.0,0.9759000729485332,0.8,0.8783100656536799,0.8,0.7563225565351133,0.8,0.8783100656536799,0
8,3,2,1.0,0.7637626158259734,0.5,0.6546536707079772,0.5,0.6546536707079772,0.0,-0.04676097647914123,0.0,0.04676097647914123,0
8,3,5,1.0,0.95150257112482,0.8,0.95150257112482,0.8,0.95150257112482,0.8,0.8539125638299666,0.8,0.8783100656536799,0
8,3,2,1.0,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,0.0,0.04676097647914123,0.0,0.04676097647914123,0
8,3,5,1.0,0.95150257112482,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.8539125638299666,0.8,0.8783100656536799,0
8,3,2,1.0,0.7325886315065459,1.0,0.7637626158259734,0.5,0.7637626158259734,1.0,0.7325886315065459,1.0,0.7637626158259734,0
8,3,5,0.8,0.8783100656536799,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.9271050693011065,0.8,0.9271050693011065,0
8,3,2,1.0,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,0.0,-0.04676097647914123,0.0,0.04676097647914123,0
8,3,5,1.0,0.95150257112482,0.8,0.9759000729485332,1.0,0.9759000729485332,0.8,0.7563225565351133,0.8,0.8783100656536799,0
8,3,2,1.0,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,0.0,0.3273268353539886,0.0,0.3273268353539886,0
8,3,5,1.0,0.95150257112482,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.8539125638299666,0.8,0.8783100656536799,0
8,3,2,0.5,0.6546536707079772,1.0,0.7637626158259734,1.0,0.7637626158259734,0.0,0.04676097647914123,0.0,0.04676097647914123,0
8,3,5,1.0,0.95150257112482,0.8,0.8783100656536799,0.8,0.8783100656536799,0.8,0.7563225565351133,0.8,0.8783100656536799,0
8,3,2,1.0,0.7325886315065459,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.21821789023599242,0.5,0.21821789023599242,1
8,3,5,1.0,0.95150257112482,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.6831300510639733,0.8,0.8783100656536799,1
8,3,2,0.5,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.3273268353539886,0.5,0.3273268353539886,1
8,3,5,0.8,0.7563225565351133,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.6587325492402599,0.8,0.80511756018254,1
8,3,2,0.5,0.6546536707079772,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.21821789023599242,0.5,0.21821789023599242,1
8,3,5,1.0,0.95150257112482,1.0,0.9759000729485332,0.8,0.9759000729485332,0.8,0.7319250547113999,0.8,0.80511756018254,1
8,3,2,0.5,0.6546536707079772,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.6546536707079772,0.5,0.6546536707079772,1
8,3,5,1.0,0.95150257112482,0.8,0.9271050693011065,0.8,0.9271050693011065,0.8,0.7319250547113999,0.8,0.7563225565351133,1
8,3,2,0.5,0.6546536707079772,1.0,0.7325886315065459,1.0,0.7325886315065459,0.5,0.6546536707079772,0.5,0.6546536707079772,1
8,3,5,0.8,0.9027075674773933,0.8,0.9271050693011065,0.8,0.95150257112482,0.8,0.8295150620062534,0.8,0.9271050693011065,1
8,3,2,1.0,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.21821789023599242,0.5,0.21821789023599242,1
8,3,5,0.8,0.80511756018254,1.0,0.95150257112482,1.0,0.95150257112482,0.8,0.7563225565351133,0.8,0.80511756018254,1
8,3,2,0.5,0.6546536707079772,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.6546536707079772,0.5,0.6546536707079772,1
8,3,5,1.0,0.95150257112482,0.8,0.9271050693011065,0.8,0.9271050693011065,0.8,0.9027075674773933,0.8,0.9271050693011065,1
8,3,2,0.5,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,0.0,0.31173984319427483,0.0,0.43643578047198484,1
