n_features,n_classes,K,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
8,3,2,recall,joint_refit_recall,ridge_select_recall,20,0.4625,0.359375,0.578125,0.8,0.728125,0.86875,-0.3375,0.00018599633266627431,-1.0,True
8,3,5,recall,joint_refit_recall,ridge_select_recall,20,0.7400000000000001,0.6975,0.77875,0.85875,0.82,0.8924999999999998,-0.11875,0.0004467583473862054,-0.9415204678362573,True
8,4,2,recall,joint_refit_recall,ridge_select_recall,20,0.4625,0.39375,0.534375,0.653125,0.609375,0.7,-0.190625,0.00163989209915843,-0.8421052631578947,False
8,4,5,recall,joint_refit_recall,ridge_select_recall,20,0.7175,0.6849999999999999,0.75125,0.7775000000000001,0.7525000000000001,0.8037500000000002,-0.06000000000000001,0.0019965069990938713,-0.8052631578947368,False
8,5,2,recall,joint_refit_recall,ridge_select_recall,20,0.403125,0.334375,0.46875,0.59375,0.53125,0.6469531249999988,-0.190625,0.0002685480843774524,-1.0,True
8,5,5,recall,joint_refit_recall,ridge_select_recall,20,0.7012499999999999,0.6712499999999999,0.73,0.7575000000000001,0.7325,0.7825000000000001,-0.05625,0.016623134862947943,-0.6601307189542484,False
14,3,4,recall,joint_refit_recall,ridge_select_recall,20,0.565625,0.50625,0.6296875,0.8140625,0.775,0.8515625,-0.2484375,8.720229793087962e-05,-1.0,True
14,3,8,recall,joint_refit_recall,ridge_select_recall,20,0.725,0.68984375,0.76328125,0.85390625,0.8265625,0.8796875,-0.12890625,0.0001295719512967522,-1.0,True
14,4,4,recall,joint_refit_recall,ridge_select_recall,20,0.4421875,0.4,0.4859375,0.6375,0.6015625,0.6765625,-0.1953125,8.523520069295667e-05,-1.0,True
14,4,8,recall,joint_refit_recall,ridge_select_recall,20,0.684375,0.6546875,0.71640625,0.78203125,0.76171875,0.803125,-0.09765625,8.523520069295667e-05,-1.0,True
