n_features,n_classes,K,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
8,3,2,fidelity,joint_refit_fidelity,ridge_select_fidelity,20,0.7330331206723193,0.7001540019184612,0.7676684911321953,0.7584610287642432,0.7312719980241599,0.7858336779567549,-0.025427908091923912,0.06372261047363281,-0.47619047619047616,False
8,3,5,fidelity,joint_refit_fidelity,ridge_select_fidelity,20,0.7878768970961059,0.7625888162979426,0.8133914574472573,0.7995824856260304,0.7773184059690406,0.8214095982679899,-0.011705588529924532,0.012079238891601562,-0.6285714285714286,False
8,4,2,fidelity,joint_refit_fidelity,ridge_select_fidelity,20,0.7154137518251503,0.704275218874297,0.7289924348553793,0.7374842663692387,0.7242825891489085,0.7519488718117728,-0.022070514544088433,0.0003948211669921875,-0.8380952380952381,True
8,4,5,fidelity,joint_refit_fidelity,ridge_select_fidelity,20,0.7796223977382227,0.7696395565318148,0.7893174461235195,0.7926498641524603,0.7817063260726742,0.8042357425203515,-0.013027466414237543,0.0010166168212890625,-0.7904761904761904,True
8,5,2,fidelity,joint_refit_fidelity,ridge_select_fidelity,20,0.6982061071768147,0.6856657988294024,0.7099622343719201,0.7257358239330528,0.7137262948431116,0.737506788829999,-0.027529716756238033,0.0002613067626953125,-0.8571428571428571,True
8,5,5,fidelity,joint_refit_fidelity,ridge_select_fidelity,20,0.7734889860534631,0.7629710697267558,0.7841227589771919,0.787323500117125,0.7783164945028165,0.7966241679432786,-0.013834514063661745,1.9073486328125e-05,-0.9523809523809523,True
14,3,4,fidelity,joint_refit_fidelity,ridge_select_fidelity,20,0.7613242146474278,0.7434394685511835,0.7808057871126184,0.7849870931288212,0.7704364832574213,0.8001472778966991,-0.023662878481393194,1.9073486328125e-06,-1.0,True
14,3,8,fidelity,joint_refit_fidelity,ridge_select_fidelity,20,0.8000392865060837,0.7836303529202999,0.8158604443100843,0.8137214102006652,0.8004624337735805,0.8263230882743959,-0.01368212369458165,0.0003948211669921875,-0.8380952380952381,True
14,4,4,fidelity,joint_refit_fidelity,ridge_select_fidelity,20,0.7436686427149858,0.7262843277158787,0.7606917485654089,0.7656035766794743,0.7493564193799681,0.7818365830000331,-0.02193493396448848,0.0003948211669921875,-0.8380952380952381,True
14,4,8,fidelity,joint_refit_fidelity,ridge_select_fidelity,20,0.7892416613143424,0.7750219645920904,0.8032895729219337,0.8039495834098922,0.7912203863826544,0.8163289924562596,-0.014707922095549848,1.9073486328125e-06,-1.0,True
